Code,Name,Old Location,New Location,Coming Stock,Stock
,,,COMPRESSOR_TANK_ROUND,,
8CH_WIFI_BLACK_1MP+1TB,C-01-06_KK123_8 Channel Wireless security Camera+1tb,C-01-06,,10,15
8CH_WIFIKIT_CAM_HARDDRIVE,C-01-01_KK123_8 Channel CCTV Wireless Outdoor Camera + HARD DRIVE,C-01-01,,10,15
8CH_WIFIKIT_CAM_ONLY,C-01-06_KK123_8 Channel CCTV Wireless Outdoor Camera,C-01-06,,10,15
10.2_MAG_BLACK,E-01-01_iPad 10.2 Case Magnetic Case Black,E-01-01,,10,15
60W_CARPLAYER,C-01-02_JSD-520 Car MP3 Player Radio U Disk SD Card BT Music,C-01-02,,10,15
100CM_HAMMOCK_BLUE_TR1202,A-01-01_KK123_Hammock Chair Hanging Rope Swing Seat 3731,A-01-01,,10,15
100CM_HAMMOCK_RED_TR1203,A-02-01_KK123_Hanging hammock Swing Chair Red 3732,A-02-01,,10,15
120SPEAKER_STAND_TR1034,A-01-01_KK123_SR_2pcs Speaker Stands Stand Tripod,A-01-01,,10,15
320MM_WHEEL,A-06-01_KK123_SR_320MM Steering wheel 3030,A-06-01,,10,15
1080P_CAM_BLACK_1PCS,D-02-03_Security Camera,D-02-03,,10,15
ACOUSTIC_FOAM_6PCS,A-02-02_KK123_SR_Acoustic Foam Sound Insulation Mat 50x50CMx2cm,A-02-02,,10,15
AHD_CAM_WHITE_1080P,D-02-04_CCTV Security Camera 1080P,D-02-04,,10,15
AIR_COMPRESSOR_BIG,C-01-02_12V Mini Air Compressor Tyre Inflator,C-01-02,,10,15
AIR_HARDCASE_BLACKGREEN,E-01-01_iPad Air Case Heavy Duty Shockproof Protective Cover for iPad Air 9.7,E-01-01,,10,15
AIR_HARDCASE_BLACKPURPLE,E-01-01_iPad Air Case Heavy Duty Shockproof Protective Cover for iPad Air 9.7,E-01-01,,10,15
AIR_HARDCASE_FULLBLACK,E-01-01_iPad Air Kids Hard case - Full Black,E-01-01,,10,15
AIR_HARDCASE_GRAYBLACK,E-01-01_iPad Air Kids Hard case - Grey/Black,E-01-01,,10,15
AIR_HARDCASE_GREENBLACK,E-01-01_iPad Air Case Heavy Duty Shockproof Protective Cover,E-01-01,,10,15
AIR_TRACTION_BELT,C-02-03_KK123_SR_A2_Lumbar Back Support Spinal Air Traction Belt,C-02-03,,10,15
AIR2018_HARD_BLACKGREEN,E-01-01_ ipad 6 2018 Black Green Case,E-01-01,,10,15
